2375624679,"AutoTokenizer: Phi-3 drops spaces when decodes a token at a time"
2375595134,"return_dict in encodec is always set to True: "
2375562349,"Using batching with pipeline and transformers"
2375450557,"change anchor_image_size None for compatibility"
2375087089,"No module named 'transformers.models.starcoder2'"
2375079883,"Please reopen issue #30361"
2374961809,"`convert_wav2vec2_original_pytorch_checkpoint_to_pytorch.py` does not work due to weight norm key"
2374471380,"The behavior of the tokenizer loaded from GGUF file is incorrect."
2374455676,"Enhancing SFT Training Efficiency Using Packing and FlashAttention2 with Position IDs"
2374356074,"Fix runtime error for devices with MPS support"
2374347292,"Tokenizer discard data that exceed max_length"
2374151438,"New `save_strategy` option called ""best"" to save when a new best performance is achieved."
2374139847,"enable low-precision pipeline"
2374100633,"When max_steps < save_steps with deepspeed zero3 stage"
2374013430,"Added HHCache class implementing H2O Cache"
2373805505,"Unable to export Phi-3-vision model to PyTorch exported program"
2373195175,"Added Turkish README"
2372942675,"[`Llama`] Conversion: fix and simplify the script!"
2372924504,"[QoL] Allow dtype str for torch_dtype arg of from_pretrained"
2372562555,"Incorrect docstring of `get_anyres_image_grid_shape`"
2371774073,"[Bug Fix] fix qa pipeline tensor to numpy"
2371653003,"`pip install accelerate` (and similar) error messages should specify min version"
2371608016,"Multi-GPU inference affects LLM's (Llama2-7b-chat-hf) generation."
2371219776,"Allow infer_framework_load_model to use the originally specified config."
2370963909,"[WIP] Add implementation of `_extract_fbank_features_batch` "
2370728606,"add warning when using gradient_checkpointing with FSDP full shard"
2370664486,"OOM when loading 300B models with `AutoModelForCausalLM.from_pretrained` and `BitsAndBytesConfig` quantization."
2370475239,"transformers.fx.symbolic_trace supports inputs_embeds"
2370331311,"Add language to word timestamps for Whisper"
2370241789,"RuntimeError: slow_conv2d_forward_mps: input(device='cpu') and weight(device=mps:0') "
2370233545,"Trainer: To keep unused columns for `compute_metrics`"
2370143088,"rewoo plan, critique"
2369508344,"Optimize 1st token for beam_search"
2369076620,"Add argument to set number of eval steps in Trainer"
2369070579,"NotImplementedError: Cannot copy out of meta tensor; no data when embedding to meta"
2368711239,"You can't train a model that has been loaded with `device_map='auto'` in any distributed mode."
2368324857,"Fixing Tensor Shape/Dimension Mismatch Errors in TimeSeries Transformer for Stock Price Prediction"
2368115887,"fix HF conversion for older Llama versions"
2367895183,"Fail to load model without .safetensors file"
2367827032,"Index out of range when generate using optimum"
2367782190,"Test loading generation config with safetensor weights"
2367758644,"Mamba & RecurrentGemma: enable strict signature"
2367587167,"Add torch_empty_cache_steps to TrainingArguments"
2367420844,"Problem with the masked language modeling tutorial "
2367296157,"Nested from_pretrained() gives warnings loading weights - ""copying from a non-meta parameter"""
2367008443,"handle when from_pretrained_id is a list"
2366689139,"Batch Generation giving different output when using batch size > 1 or when using padding in MambaForCausalLM"
2366607014,"fix wav2vec2 with torch.compile"
2366564326,"Sink cache: fix generate from cache"
2366155915,"Chameleon: add model"
2366145131,"HuggingFace GroundingDINO inference execution time is slower than the original groundingDINO (~100ms)"
2365886473,"Source link to `LlamaForSequenceClassification` seems broken, if so, update it."
2365637978,"Potential Bug in llava_next when calling pack_image_features function."
2365558724,"Error on fine tuning paligemma for object detection"
2365202112,"GGML (GGUF) Llama3 unit test fails"
2364882208,"Support deepspeed sequence parallel"
2364789527,"Depth Anything: update conversion script for V2"
2364701512,"Sequence Length Invariant Text Models"
2364650302,"Fix mininal version check for object_detection.md"
2364329098,"Cohere: Use `diff` instead of `Copied from` mechanism"
2363874975,"from_pretrained 加载checkpoint过慢的问题"
2363744679,"add gather_use_object arguments"
2363705285,"add bnb support for Ascend NPU"
2363639967,"Check diff files in `check_copies`"
2363460765,"如果在单个GPU上out of memory 如何用两个GPU加载推理同一个模型？"
2363432072,"load qwen2-72b-instruct sft awq q4_0 gguf ValueError: Trying to set a tensor of shape torch.Size"
2363318942,"Add Florence2 support"
2363227082,"Meta FAIR Chameleon 7b and 30b"
2363174515,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cuda:1! (HF/Accelerate)"
2362907545,"Granite language models [WIP]"
2362887604,"FineWeb SLM Training doesn't start"
2362839390,"MixtralFlashAttention2: put ""plus 1"" inside parentheses when calculating rotary_seq_len, allowing None position_ids input."
2362800531,"Add FA2 and `sdpa` support for SigLIP"
2362691734,"RecurrentGemma: add generative tests"
2362667000,"will this be a model or just a tokenizer/embeddings ? technically a sentence trancformer ?"
2362372262,"Add training support for SigLIP"
2362365005,"[WIP] - Add Descript-Audio-Codec model"
2362328616,"ImportError: cannot import name 'logging' from 'huggingface_hub'"
2361694061,"run_clm.py AttributeError: 'NoneType' object has no attribute 'get'"
